Year,concept.REF_AREA,Value
2007,code.KG,98.43686600000001
2008,code.KG,98.483992
2009,code.KG,98.495642
2010,code.KG,98.309687
2011,code.KG,98.622407
2012,code.KG,98.838817
2013,code.KG,98.985022
2014,code.KG,99.176724
2015,code.KG,99.230049
2016,code.KG,99.185581
2017,code.KG,99.3
2018,code.KG,99.3
2007,code.KG05,97.74409
2008,code.KG05,97.474925
2009,code.KG05,98.87450799999999
2010,code.KG05,96.861772
2011,code.KG05,97.13801
2012,code.KG05,98.465778
2013,code.KG05,99.080933
2014,code.KG05,99.356181
2015,code.KG05,99.26163100000001
2016,code.KG05,98.97959200000001
2017,code.KG05,99.2
2018,code.KG05,99.4
2007,code.KG03,98.959241
2008,code.KG03,98.57502099999999
2009,code.KG03,98.923445
2010,code.KG03,98.940709
2011,code.KG03,99.11574399999999
2012,code.KG03,99.045346
2013,code.KG03,99.080837
2014,code.KG03,99.16136999999999
2015,code.KG03,99.29911899999999
2016,code.KG03,99.265036
2017,code.KG03,99.4
2018,code.KG03,99.4
2007,code.KG02,99.29424499999999
2008,code.KG02,99.008513
2009,code.KG02,99.274602
2010,code.KG02,99.41453100000001
2011,code.KG02,99.46322099999999
2012,code.KG02,99.435996
2013,code.KG02,99.427262
2014,code.KG02,99.45100500000001
2015,code.KG02,99.391542
2016,code.KG02,99.422551
2017,code.KG02,99.5
2018,code.KG02,99.5
2007,code.KG04,97.720601
2008,code.KG04,98.116039
2009,code.KG04,98.275296
2010,code.KG04,97.822417
2011,code.KG04,98.680426
2012,code.KG04,98.696845
2013,code.KG04,98.717291
2014,code.KG04,98.81741600000001
2015,code.KG04,98.774112
2016,code.KG04,98.787433
2017,code.KG04,99.0
2018,code.KG04,99.2
2007,code.KG06,96.877363
2008,code.KG06,97.394325
2009,code.KG06,96.451545
2010,code.KG06,96.52909
2011,code.KG06,97.299639
2012,code.KG06,97.81769399999999
2013,code.KG06,98.222659
2014,code.KG06,98.87403499999999
2015,code.KG06,99.087129
2016,code.KG06,99.07028199999999
2017,code.KG06,99.1
2018,code.KG06,99.1
2007,code.KG07,99.285714
2008,code.KG07,99.252883
2009,code.KG07,99.270189
2010,code.KG07,99.485821
2011,code.KG07,99.688576
2012,code.KG07,99.66067199999999
2013,code.KG07,99.694501
2014,code.KG07,99.680296
2015,code.KG07,99.729775
2016,code.KG07,99.713877
2017,code.KG07,99.5
2018,code.KG07,99.7
2007,code.KG08,99.023641
2008,code.KG08,99.18247
2009,code.KG08,99.161879
2010,code.KG08,99.19970699999999
2011,code.KG08,99.10728399999999
2012,code.KG08,99.15254200000001
2013,code.KG08,99.134263
2014,code.KG08,99.23354
2015,code.KG08,99.163311
2016,code.KG08,99.17626899999999
2017,code.KG08,99.2
2018,code.KG08,99.2
2007,code.KG11,99.435435
2008,code.KG11,99.586624
2009,code.KG11,99.621193
2010,code.KG11,99.598067
2011,code.KG11,99.46061999999999
2012,code.KG11,99.614421
2013,code.KG11,99.611183
2014,code.KG11,99.609444
2015,code.KG11,99.49436700000001
2016,code.KG11,99.479551
2017,code.KG11,99.5
2018,code.KG11,99.6
2007,code.KG21,98.91628299999999
2008,code.KG21,98.98297099999999
2009,code.KG21,98.918685
2010,code.KG21,97.39090300000001
2011,code.KG21,99.342208
2012,code.KG21,98.973247
2013,code.KG21,99.300699
2014,code.KG21,99.388163
2015,code.KG21,99.258076
2016,code.KG21,99.319952
2017,code.KG21,99.5
2018,code.KG21,99.7
