Year,concept.REF_AREA,concept.SEX,Value
2007,code.KG,,115.478276
2008,code.KG,,106.34008200000001
2009,code.KG,,103.932976
2010,code.KG,,101.138775
2011,code.KG,,100.367124
2012,code.KG,,104.34219399999999
2013,code.KG,,102.43271999999999
2014,code.KG,,101.065558
2015,code.KG,,98.249685
2016,code.KG,,93.423511
2017,code.KG,,90.6
2007,code.KG,code.F,91.061332
2008,code.KG,code.F,85.80910300000001
2009,code.KG,code.F,85.417204
2010,code.KG,code.F,84.9
2011,code.KG,code.F,81.94725
2012,code.KG,code.F,85.223608
2013,code.KG,code.F,87.8
2014,code.KG,code.F,88.7
2015,code.KG,code.F,83.7
2016,code.KG,code.F,81.7
2017,code.KG,code.F,77.7
2007,code.KG,code.M,140.46199
2008,code.KG,code.M,127.33842299999999
2009,code.KG,code.M,122.936319
2010,code.KG,code.M,117.8
2011,code.KG,code.M,119.25600700000001
2012,code.KG,code.M,123.92298400000001
2013,code.KG,code.M,117.4
2014,code.KG,code.M,113.7
2015,code.KG,code.M,113.1
2016,code.KG,code.M,105.3
2017,code.KG,code.M,103.8
2007,code.KG05,,80.315042
2008,code.KG05,,81.679899
2009,code.KG05,,82.704723
2010,code.KG05,,81.83755
2011,code.KG05,,78.880836
2012,code.KG05,,90.334237
2013,code.KG05,,90.032265
2014,code.KG05,,86.073371
2015,code.KG05,,72.743563
2016,code.KG05,,67.061001
2017,code.KG05,,70.8
2007,code.KG05,code.F,70.837249
2008,code.KG05,code.F,67.32306700000001
2009,code.KG05,code.F,81.332337
2010,code.KG05,code.F,62.3
2011,code.KG05,code.F,63.9
2012,code.KG05,code.F,79.7
2013,code.KG05,code.F,81.0
2014,code.KG05,code.F,78.8
2015,code.KG05,code.F,63.1
2016,code.KG05,code.F,66.6
2017,code.KG05,code.F,65.7
2007,code.KG05,code.M,89.74509599999999
2008,code.KG05,code.M,95.98673000000001
2009,code.KG05,code.M,84.03016
2010,code.KG05,code.M,100.8
2011,code.KG05,code.M,93.4
2012,code.KG05,code.M,100.7
2013,code.KG05,code.M,98.8
2014,code.KG05,code.M,93.2
2015,code.KG05,code.M,82.0
2016,code.KG05,code.M,67.5
2017,code.KG05,code.M,75.7
2007,code.KG03,,91.916186
2008,code.KG03,,88.33931199999999
2009,code.KG03,,87.78748900000001
2010,code.KG03,,85.931674
2011,code.KG03,,82.549369
2012,code.KG03,,86.910818
2013,code.KG03,,80.886516
2014,code.KG03,,85.34428
2015,code.KG03,,76.512241
2016,code.KG03,,84.915163
2017,code.KG03,,80.2
2007,code.KG03,code.F,75.21800999999999
2008,code.KG03,code.F,71.207543
2009,code.KG03,code.F,71.79005699999999
2010,code.KG03,code.F,74.3
2011,code.KG03,code.F,72.983333
2012,code.KG03,code.F,75.789204
2013,code.KG03,code.F,74.3
2014,code.KG03,code.F,81.8
2015,code.KG03,code.F,66.2
2016,code.KG03,code.F,79.5
2017,code.KG03,code.F,72.8
2007,code.KG03,code.M,108.757553
2008,code.KG03,code.M,105.62176399999998
2009,code.KG03,code.M,103.75711
2010,code.KG03,code.M,97.6
2011,code.KG03,code.M,92.090531
2012,code.KG03,code.M,97.991089
2013,code.KG03,code.M,87.5
2014,code.KG03,code.M,88.8
2015,code.KG03,code.M,86.7
2016,code.KG03,code.M,90.3
2017,code.KG03,code.M,87.5
2007,code.KG02,,74.81839699999999
2008,code.KG02,,65.710142
2009,code.KG02,,68.260473
2010,code.KG02,,67.280621
2011,code.KG02,,68.345501
2012,code.KG02,,70.114091
2013,code.KG02,,69.96319799999999
2014,code.KG02,,63.962325
2015,code.KG02,,58.459621
2016,code.KG02,,60.411218999999996
2017,code.KG02,,48.6
2007,code.KG02,code.F,57.509562
2008,code.KG02,code.F,56.84919
2009,code.KG02,code.F,57.584509999999995
2010,code.KG02,code.F,55.0
2011,code.KG02,code.F,53.747679000000005
2012,code.KG02,code.F,57.222843000000005
2013,code.KG02,code.F,57.9
2014,code.KG02,code.F,51.3
2015,code.KG02,code.F,48.5
2016,code.KG02,code.F,53.8
2017,code.KG02,code.F,34.8
2007,code.KG02,code.M,92.654432
2008,code.KG02,code.M,74.822647
2009,code.KG02,code.M,79.185677
2010,code.KG02,code.M,79.8
2011,code.KG02,code.M,83.206714
2012,code.KG02,code.M,83.21700799999999
2013,code.KG02,code.M,82.2
2014,code.KG02,code.M,76.8
2015,code.KG02,code.M,68.5
2016,code.KG02,code.M,67.1
2017,code.KG02,code.M,62.4
2007,code.KG04,,89.134835
2008,code.KG04,,101.241128
2009,code.KG04,,97.171948
2010,code.KG04,,103.928178
2011,code.KG04,,95.24098599999999
2012,code.KG04,,105.056599
2013,code.KG04,,90.465191
2014,code.KG04,,98.190078
2015,code.KG04,,84.752208
2016,code.KG04,,77.322632
2017,code.KG04,,59.5
2007,code.KG04,code.F,73.136894
2008,code.KG04,code.F,93.896008
2009,code.KG04,code.F,87.733728
2010,code.KG04,code.F,85.5
2011,code.KG04,code.F,86.159148
2012,code.KG04,code.F,83.765487
2013,code.KG04,code.F,76.0
2014,code.KG04,code.F,87.0
2015,code.KG04,code.F,75.0
2016,code.KG04,code.F,63.3
2017,code.KG04,code.F,49.0
2007,code.KG04,code.M,104.664525
2008,code.KG04,code.M,108.341574
2009,code.KG04,code.M,106.394379
2010,code.KG04,code.M,121.9
2011,code.KG04,code.M,104.08086899999999
2012,code.KG04,code.M,125.735925
2013,code.KG04,code.M,104.4
2014,code.KG04,code.M,109.0
2015,code.KG04,code.M,94.2
2016,code.KG04,code.M,91.0
2017,code.KG04,code.M,69.6
2007,code.KG06,,102.866708
2008,code.KG06,,97.93956999999999
2009,code.KG06,,99.50311500000001
2010,code.KG06,,90.272855
2011,code.KG06,,86.981785
2012,code.KG06,,89.531841
2013,code.KG06,,97.42358399999999
2014,code.KG06,,90.681619
2015,code.KG06,,91.23786899999999
2016,code.KG06,,83.857442
2017,code.KG06,,84.4
2007,code.KG06,code.F,85.479058
2008,code.KG06,code.F,79.853854
2009,code.KG06,code.F,84.498903
2010,code.KG06,code.F,83.3
2011,code.KG06,code.F,78.306875
2012,code.KG06,code.F,79.852654
2013,code.KG06,code.F,89.2
2014,code.KG06,code.F,82.7
2015,code.KG06,code.F,83.8
2016,code.KG06,code.F,78.4
2017,code.KG06,code.F,73.3
2007,code.KG06,code.M,120.17593500000001
