Year,concept.REF_AREA,concept.URBANISATION,concept.COMMENT_TS,Value
2010,,,,5.3
2011,,,,4.5
2012,,,,4.4
2013,,,,2.8
2014,,,,1.2
2015,,,,1.2
2016,,,,0.8
2017,,,,0.8
2018,,,,0.6
2010,,CL_URBANISATION.U,,4.2
2011,,CL_URBANISATION.U,,2.6
2012,,CL_URBANISATION.U,,4.2
2013,,CL_URBANISATION.U,,1.6
2014,,CL_URBANISATION.U,,1.3
2015,,CL_URBANISATION.U,,1.0
2016,,CL_URBANISATION.U,,0.3
2017,,CL_URBANISATION.U,,0.3
2018,,CL_URBANISATION.U,,0.2
2010,,CL_URBANISATION.R,,6.0
2011,,CL_URBANISATION.R,,5.7
2012,,CL_URBANISATION.R,,4.5
2013,,CL_URBANISATION.R,,3.3
2014,,CL_URBANISATION.R,,1.1
2015,,CL_URBANISATION.R,,1.4
2016,,CL_URBANISATION.R,,1.1
2017,,CL_URBANISATION.R,,1.0
2018,,CL_URBANISATION.R,,0.7
2010,CL_AREA.KG05,,,5.2
2011,CL_AREA.KG05,,,3.6
2012,CL_AREA.KG05,,,2.4
2013,CL_AREA.KG05,,,8.0
2014,CL_AREA.KG05,,,2.6
2015,CL_AREA.KG05,,,4.0
2016,CL_AREA.KG05,,,0.3
2017,CL_AREA.KG05,,,3.4
2018,CL_AREA.KG05,,,0.9
2010,CL_AREA.KG03,,,6.4
2011,CL_AREA.KG03,,,6.7
2012,CL_AREA.KG03,,,14.1
2013,CL_AREA.KG03,,,1.4
2014,CL_AREA.KG03,,,1.1
2015,CL_AREA.KG03,,,0.5
2016,CL_AREA.KG03,,,0.1
2017,CL_AREA.KG03,,,0.0
2018,CL_AREA.KG03,,,1.0
2010,CL_AREA.KG02,,,2.5
2011,CL_AREA.KG02,,,1.5
2012,CL_AREA.KG02,,,0.1
2013,CL_AREA.KG02,,,1.9
2014,CL_AREA.KG02,,,0.0
2015,CL_AREA.KG02,,,0.4
2016,CL_AREA.KG02,,,0.0
2017,CL_AREA.KG02,,,1.0
2018,CL_AREA.KG02,,,0.9
2010,CL_AREA.KG04,,,12.0
2011,CL_AREA.KG04,,,14.7
2012,CL_AREA.KG04,,,2.5
2013,CL_AREA.KG04,,,4.9
2014,CL_AREA.KG04,,,1.8
2015,CL_AREA.KG04,,,2.1
2016,CL_AREA.KG04,,,2.6
2017,CL_AREA.KG04,,,2.0
2018,CL_AREA.KG04,,,2.2
2010,CL_AREA.KG06,,until 2013 y. including Osh city,8.3
2011,CL_AREA.KG06,,until 2013 y. including Osh city,3.7
2012,CL_AREA.KG06,,until 2013 y. including Osh city,2.3
2013,CL_AREA.KG06,,until 2013 y. including Osh city,4.0
2014,CL_AREA.KG06,,until 2013 y. including Osh city,0.4
2015,CL_AREA.KG06,,until 2013 y. including Osh city,1.2
2016,CL_AREA.KG06,,until 2013 y. including Osh city,0.8
2017,CL_AREA.KG06,,until 2013 y. including Osh city,0.0
2018,CL_AREA.KG06,,until 2013 y. including Osh city,0.0
2010,CL_AREA.KG07,,,5.0
2011,CL_AREA.KG07,,,8.4
2012,CL_AREA.KG07,,,0.9
2013,CL_AREA.KG07,,,0.0
2014,CL_AREA.KG07,,,0.0
2015,CL_AREA.KG07,,,0.0
2016,CL_AREA.KG07,,,0.0
2017,CL_AREA.KG07,,,0.0
2018,CL_AREA.KG07,,,0.0
2010,CL_AREA.KG08,,,3.5
2011,CL_AREA.KG08,,,4.9
2012,CL_AREA.KG08,,,3.9
2013,CL_AREA.KG08,,,2.1
2014,CL_AREA.KG08,,,3.2
2015,CL_AREA.KG08,,,1.7
2016,CL_AREA.KG08,,,3.1
2017,CL_AREA.KG08,,,1.7
2018,CL_AREA.KG08,,,0.3
2010,CL_AREA.KG11,,,0.5
2011,CL_AREA.KG11,,,1.0
2012,CL_AREA.KG11,,,1.2
2013,CL_AREA.KG11,,,1.0
2014,CL_AREA.KG11,,,0.0
2015,CL_AREA.KG11,,,0.8
2016,CL_AREA.KG11,,,0.0
2017,CL_AREA.KG11,,,0.0
2018,CL_AREA.KG11,,,0.3
2013,CL_AREA.KG21,,,3.5
2014,CL_AREA.KG21,,,3.1
2015,CL_AREA.KG21,,,1.7
2016,CL_AREA.KG21,,,0.0
2017,CL_AREA.KG21,,,1.2
2018,CL_AREA.KG21,,,0.6
