Year,Series,concept.REF_AREA,Units,Value
2010,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,13.3
2011,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,6.3
2012,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,5.4
2013,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.7
2014,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.9
2015,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.5
2016,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,2.8
2017,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.0
2018,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,2.2
2010,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,722.0
2011,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,344.0
2012,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,298.0
2013,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,212.0
2014,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,223.0
2015,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,205.0
2016,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,170.0
2017,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,185.0
2018,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,135.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.2
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.0
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.0
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.7
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.5
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.2
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.4
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.2
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.1
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,14.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,9.0
2012,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,9.0
2013,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,13.0
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,7.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,6.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,7.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,6.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,6.0
2010,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,6.6
2011,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,3.8
2012,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,3.9
2013,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.5
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.7
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.4
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.0
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.6
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.2
2010,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG03,CL_UNIT_MEASURE.NUMBER,68.0
2011,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG03,CL_UNIT_MEASURE.NUMBER,40.0
