Year,Units,Value
2007,Portugal,0.102468
2008,Portugal,0.6574220000000001
2009,Portugal,0.037073
2010,Portugal,0.23456100000000002
2011,Portugal,0.32864899999999997
2012,Portugal,0.297902
2013,Portugal,0.062089
2014,Portugal,0.113728
2015,Portugal,0.532092
2016,Portugal,0.21124
2017,Portugal,0.193675
2018,Portugal,0.21801700000000002
2007,Local currency,145.4
2008,Local currency,1235.9
2009,Local currency,74.6
2010,Local currency,516.9
2011,Local currency,939.9
2012,Local currency,924.9
2013,Local currency,220.6
2014,Local currency,455.7
2015,Local currency,2290.6
2016,Local currency,1006.2
2017,Local currency,1027.4
2018,Local currency,1214.6
