Year,Units,Series,Value
2010,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,13.3
2011,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,6.3
2012,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,5.4
2013,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,3.7
2014,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,3.9
2015,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,3.5
2016,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,2.8
2017,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,3.0
2018,CL_UNIT_MEASURE.PER_100000_POP,CL_SERIES.VC_IHR_PSRC,2.2
2010,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,722.0
2011,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,344.0
2012,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,298.0
2013,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,212.0
2014,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,223.0
2015,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,205.0
2016,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,170.0
2017,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,185.0
2018,CL_UNIT_MEASURE.NUMBER,CL_SERIES.VC_IHR_PSRCN,135.0
