Year,Series,Value
2007,CL_SERIES.FB_CBK_BRCH,6.1
2008,CL_SERIES.FB_CBK_BRCH,6.5
2009,CL_SERIES.FB_CBK_BRCH,6.6
2010,CL_SERIES.FB_CBK_BRCH,5.7
2011,CL_SERIES.FB_CBK_BRCH,6.8
2012,CL_SERIES.FB_CBK_BRCH,7.3
2013,CL_SERIES.FB_CBK_BRCH,7.4
2014,CL_SERIES.FB_CBK_BRCH,7.4
2015,CL_SERIES.FB_CBK_BRCH,7.8
2016,CL_SERIES.FB_CBK_BRCH,7.9
2017,CL_SERIES.FB_CBK_BRCH,7.7
2018,CL_SERIES.FB_CBK_BRCH,7.6
2007,CL_SERIES.FB_ATM_TOTL,2.5
2008,CL_SERIES.FB_ATM_TOTL,4.9
2009,CL_SERIES.FB_ATM_TOTL,8.7
2010,CL_SERIES.FB_ATM_TOTL,7.6
2011,CL_SERIES.FB_ATM_TOTL,12.3
2012,CL_SERIES.FB_ATM_TOTL,160.0
2013,CL_SERIES.FB_ATM_TOTL,21.1
2014,CL_SERIES.FB_ATM_TOTL,25.3
2015,CL_SERIES.FB_ATM_TOTL,30.8
2016,CL_SERIES.FB_ATM_TOTL,31.9
2017,CL_SERIES.FB_ATM_TOTL,34.2
2018,CL_SERIES.FB_ATM_TOTL,37.7
