Year,Units,Value
2010,CL_UNIT_MEASURE.NUMBER,18.0
2011,CL_UNIT_MEASURE.NUMBER,18.0
2012,CL_UNIT_MEASURE.NUMBER,19.0
2013,CL_UNIT_MEASURE.NUMBER,19.0
2014,CL_UNIT_MEASURE.NUMBER,21.0
2015,CL_UNIT_MEASURE.NUMBER,22.0
2016,CL_UNIT_MEASURE.NUMBER,24.0
2017,CL_UNIT_MEASURE.NUMBER,23.0
2018,CL_UNIT_MEASURE.NUMBER,22.0
2010,CL_UNIT_MEASURE.CUR_LCU,477.2
2011,CL_UNIT_MEASURE.CUR_LCU,292.9
2012,CL_UNIT_MEASURE.CUR_LCU,337.8
2013,CL_UNIT_MEASURE.CUR_LCU,405.4
2014,CL_UNIT_MEASURE.CUR_LCU,1003.2
2015,CL_UNIT_MEASURE.CUR_LCU,967.0
2016,CL_UNIT_MEASURE.CUR_LCU,921.3
2017,CL_UNIT_MEASURE.CUR_LCU,1004.4
2018,CL_UNIT_MEASURE.CUR_LCU,1092.7
