Year,concept.REF_AREA,Units,Value
2007,,Португалия,0.102468
2008,,Португалия,0.6574220000000001
2009,,Португалия,0.037073
2010,,Португалия,0.23456100000000002
2011,,Португалия,0.32864899999999997
2012,,Португалия,0.297902
2013,,Португалия,0.062089
2014,,Португалия,0.113728
2015,,Португалия,0.532092
2016,,Португалия,0.21124
2017,,Португалия,0.193675
2018,,Португалия,0.21801700000000002
2007,,Местная валюта,145.4
2008,,Местная валюта,1235.9
2009,,Местная валюта,74.6
2010,,Местная валюта,516.9
2011,,Местная валюта,939.9
2012,,Местная валюта,924.9
2013,,Местная валюта,220.6
2014,,Местная валюта,455.7
2015,,Местная валюта,2290.6
2016,,Местная валюта,1006.2
2017,,Местная валюта,1027.4
2018,,Местная валюта,1214.6
2007,Баткен,Португалия,0.358951
2008,Баткен,Португалия,2.126272
2009,Баткен,Португалия,0.40389899999999995
2010,Баткен,Португалия,0.333138
2011,Баткен,Португалия,4.307812
2012,Баткен,Португалия,1.9565740000000003
2013,Баткен,Португалия,0.029689999999999998
2014,Баткен,Португалия,0.25113
2015,Баткен,Португалия,3.438047
2016,Баткен,Португалия,2.2105
2017,Баткен,Португалия,0.753563
2007,Баткен,Местная валюта,17.8
2008,Баткен,Местная валюта,130.4
2009,Баткен,Местная валюта,25.4
2010,Баткен,Местная валюта,26.2
2011,Баткен,Местная валюта,551.4
2012,Баткен,Местная валюта,267.9
2013,Баткен,Местная валюта,4.5
2014,Баткен,Местная валюта,41.6
2015,Баткен,Местная валюта,588.8
2016,Баткен,Местная валюта,376.3
2017,Баткен,Местная валюта,135.0
2018,Баткен,Местная валюта,189.8
2007,Джалал-Абадская область,Португалия,0.41211800000000004
2008,Джалал-Абадская область,Португалия,0.136994
2009,Джалал-Абадская область,Португалия,0.015857
2010,Джалал-Абадская область,Португалия,1.154719
2011,Джалал-Абадская область,Португалия,0.45326400000000006
2012,Джалал-Абадская область,Португалия,1.016425
2013,Джалал-Абадская область,Португалия,0.101309
2014,Джалал-Абадская область,Португалия,0.072479
2015,Джалал-Абадская область,Португалия,0.172868
2016,Джалал-Абадская область,Португалия,0.441517
2017,Джалал-Абадская область,Португалия,0.196222
2007,Джалал-Абадская область,Местная валюта,66.7
2008,Джалал-Абадская область,Местная валюта,31.0
2009,Джалал-Абадская область,Местная валюта,3.7
2010,Джалал-Абадская область,Местная валюта,305.9
2011,Джалал-Абадская область,Местная валюта,148.6
2012,Джалал-Абадская область,Местная валюта,375.2
2013,Джалал-Абадская область,Местная валюта,38.0
2014,Джалал-Абадская область,Местная валюта,31.2
2015,Джалал-Абадская область,Местная валюта,85.1
2016,Джалал-Абадская область,Местная валюта,232.3
