Year,concept.REF_AREA,Value
2007,code.KG,18.4
2008,code.KG,19.2
2009,code.KG,17.6
2010,code.KG,16.1
2011,code.KG,16.9
2012,code.KG,16.5
2013,code.KG,17.9
2014,code.KG,15.3
2015,code.KG,15.6
2016,code.KG,13.4
2017,code.KG,13.7
2007,code.KG05,8.3
2008,code.KG05,13.7
2009,code.KG05,15.8
2010,code.KG05,13.0
2011,code.KG05,12.6
2012,code.KG05,12.8
2013,code.KG05,14.6
2014,code.KG05,12.0
2015,code.KG05,15.8
2016,code.KG05,11.0
2017,code.KG05,13.6
2007,code.KG03,13.2
2008,code.KG03,16.7
2009,code.KG03,16.5
2010,code.KG03,12.9
2011,code.KG03,15.2
2012,code.KG03,17.5
2013,code.KG03,14.6
2014,code.KG03,11.8
2015,code.KG03,12.7
2016,code.KG03,11.1
2017,code.KG03,8.6
2007,code.KG02,32.5
2008,code.KG02,29.3
2009,code.KG02,23.2
2010,code.KG02,27.3
2011,code.KG02,32.5
2012,code.KG02,26.6
2013,code.KG02,35.3
2014,code.KG02,23.9
2015,code.KG02,27.8
2016,code.KG02,22.8
2017,code.KG02,25.8
2007,code.KG04,29.2
2008,code.KG04,26.4
2009,code.KG04,28.3
2010,code.KG04,27.6
2011,code.KG04,26.9
2012,code.KG04,27.0
2013,code.KG04,24.8
2014,code.KG04,28.9
2015,code.KG04,30.8
2016,code.KG04,19.7
2017,code.KG04,26.5
2007,code.KG06,13.5
2008,code.KG06,15.3
2009,code.KG06,14.5
2010,code.KG06,14.7
2011,code.KG06,14.7
2012,code.KG06,15.0
2013,code.KG06,14.3
2014,code.KG06,15.5
2015,code.KG06,12.4
2016,code.KG06,11.7
2017,code.KG06,11.8
2007,code.KG07,15.3
2008,code.KG07,17.3
2009,code.KG07,16.7
2010,code.KG07,19.1
2011,code.KG07,24.4
2012,code.KG07,25.3
2013,code.KG07,23.2
2014,code.KG07,21.6
2015,code.KG07,16.0
2016,code.KG07,17.4
2017,code.KG07,15.6
2007,code.KG08,31.0
2008,code.KG08,28.1
2009,code.KG08,23.2
2010,code.KG08,19.7
2011,code.KG08,20.0
2012,code.KG08,18.9
2013,code.KG08,24.5
2014,code.KG08,20.0
2015,code.KG08,20.5
2016,code.KG08,18.2
2017,code.KG08,19.9
2007,code.KG11,14.4
2008,code.KG11,15.6
2009,code.KG11,13.0
2010,code.KG11,10.1
2011,code.KG11,9.2
2012,code.KG11,8.4
2013,code.KG11,11.5
2014,code.KG11,7.8
2015,code.KG11,9.1
2016,code.KG11,8.5
2017,code.KG11,8.6
2007,code.KG21,17.2
2008,code.KG21,16.7
2009,code.KG21,15.5
2010,code.KG21,14.4
2011,code.KG21,12.9
2012,code.KG21,9.7
2013,code.KG21,12.2
2014,code.KG21,10.5
2015,code.KG21,12.5
2016,code.KG21,10.0
2017,code.KG21,7.7
