Year,Территория,Возраст,Value
2014,,до 5 лет,78.3
2018,,до 5 лет,71.7
2014,Баткен,до 5 лет,81.2
2018,Баткен,до 5 лет,83.3
2014,Джалал-Абадская область,до 5 лет,87.1
2018,Джалал-Абадская область,до 5 лет,63.9
2014,Иссык-Кульская область,до 5 лет,81.6
2018,Иссык-Кульская область,до 5 лет,79.8
2014,Нарынская область,до 5 лет,80.6
2018,Нарынская область,до 5 лет,72.4
2014,Ошская область,до 5 лет,69.6
2018,Ошская область,до 5 лет,65.8
2014,Таласская область,до 5 лет,84.9
2018,Таласская область,до 5 лет,65.1
2014,Чуй,до 5 лет,73.5
2018,Чуй,до 5 лет,72.0
2014,Бишкек (город),до 5 лет,87.4
2018,Бишкек (город),до 5 лет,81.3
2014,г. Ош,до 5 лет,52.0
2018,г. Ош,до 5 лет,71.5
2014,,от 0 до 5 месяцев,5.3
2014,,от 6 до 11 месяцев,7.2
2014,,от 12 до 17 месяцев,11.2
2014,,от 18 до 23 месяцев,18.2
2014,,от 24 до 35 месяцев,18.6
2014,,от 36 до 47 месяцев,14.6
2014,,от 48 до 59 месяцев,10.5
