Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2014,,,7658.0
2015,,,7569.0
2016,,,7333.7
2017,,,7657.8
2018,,,7758.0
2014,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7432.4
2015,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7225.2
2016,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7125.0
2017,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7433.2
2018,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7513.0
2014,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,225.6
2015,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,343.8
2016,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,208.7
2017,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,224.6
2018,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,245.0
2014,CL_AREA.KG05,,615.1
2015,CL_AREA.KG05,,643.1
2016,CL_AREA.KG05,,645.2
2017,CL_AREA.KG05,,632.8
2018,CL_AREA.KG05,,647.7
2014,CL_AREA.KG03,,781.4
2015,CL_AREA.KG03,,985.7
2016,CL_AREA.KG03,,948.9
2017,CL_AREA.KG03,,936.2
2018,CL_AREA.KG03,,926.6
2014,CL_AREA.KG02,,628.5
2015,CL_AREA.KG02,,578.9
2016,CL_AREA.KG02,,524.6
2017,CL_AREA.KG02,,623.7
2018,CL_AREA.KG02,,621.1
2014,CL_AREA.KG04,,607.7
2015,CL_AREA.KG04,,620.5
2016,CL_AREA.KG04,,607.7
2017,CL_AREA.KG04,,614.8
2018,CL_AREA.KG04,,642.3
2014,CL_AREA.KG06,,1133.0
2015,CL_AREA.KG06,,1190.1
2016,CL_AREA.KG06,,1125.2
2017,CL_AREA.KG06,,1183.5
2018,CL_AREA.KG06,,1144.2
2014,CL_AREA.KG07,,882.9
2015,CL_AREA.KG07,,1011.8
2016,CL_AREA.KG07,,944.0
2017,CL_AREA.KG07,,991.6
2018,CL_AREA.KG07,,963.3
2014,CL_AREA.KG08,,2833.6
2015,CL_AREA.KG08,,2368.2
2016,CL_AREA.KG08,,2367.9
2017,CL_AREA.KG08,,2500.5
2018,CL_AREA.KG08,,2634.0
2014,CL_AREA.KG11,,118.8
2015,CL_AREA.KG11,,113.7
2016,CL_AREA.KG11,,113.2
2017,CL_AREA.KG11,,117.7
2018,CL_AREA.KG11,,121.8
2014,CL_AREA.KG21,,57.1
2015,CL_AREA.KG21,,57.1
2016,CL_AREA.KG21,,57.0
2017,CL_AREA.KG21,,57.0
2018,CL_AREA.KG21,,57.0
