Year,concept.REF_AREA,concept.SEX,concept.URBANISATION,concept.EDUCATION_LEV,Value
2016,,,,,76.65949
2017,,,,,79.591408
2018,,,,,75.693466
2016,,,CL_URBANISATION.U,,86.92335899999999
2017,,,CL_URBANISATION.U,,88.370239
2018,,,CL_URBANISATION.U,,88.614312
2016,,,CL_URBANISATION.R,,71.08228299999999
2017,,,CL_URBANISATION.R,,74.829362
2018,,,CL_URBANISATION.R,,68.67995400000001
2016,,CL_SEX.M,,,76.07068199999999
2017,,CL_SEX.M,,,79.16338499999999
2018,,CL_SEX.M,,,74.691389
2016,,CL_SEX.F,,,77.193586
2017,,CL_SEX.F,,,79.979372
2018,,CL_SEX.F,,,76.58919
2016,CL_AREA.KG05,,,,75.839901
2017,CL_AREA.KG05,,,,70.826955
2018,CL_AREA.KG05,,,,71.771366
2016,CL_AREA.KG03,,,,76.70240600000001
2017,CL_AREA.KG03,,,,74.372043
2018,CL_AREA.KG03,,,,64.443145
2016,CL_AREA.KG02,,,,47.347626
2017,CL_AREA.KG02,,,,57.4837
2018,CL_AREA.KG02,,,,67.008718
2016,CL_AREA.KG04,,,,77.440012
2017,CL_AREA.KG04,,,,79.315292
2018,CL_AREA.KG04,,,,79.01207
2016,CL_AREA.KG06,,,,74.642534
2017,CL_AREA.KG06,,,,79.01966999999999
2018,CL_AREA.KG06,,,,66.576206
2016,CL_AREA.KG07,,,,73.7187
2017,CL_AREA.KG07,,,,74.07023199999999
2018,CL_AREA.KG07,,,,53.969781999999995
2016,CL_AREA.KG08,,,,72.259617
2017,CL_AREA.KG08,,,,82.936082
2018,CL_AREA.KG08,,,,88.432638
2016,CL_AREA.KG11,,,,91.985988
2017,CL_AREA.KG11,,,,95.050715
2018,CL_AREA.KG11,,,,93.86804599999999
2016,CL_AREA.KG21,,,,100.0
2017,CL_AREA.KG21,,,,99.418328
2018,CL_AREA.KG21,,,,100.0
2016,,,,CL_EDUCATION_LEV.ISCED11_1,75.216542
2017,,,,CL_EDUCATION_LEV.ISCED11_1,78.30484
2018,,,,CL_EDUCATION_LEV.ISCED11_1,75.141999
2016,,,,CL_EDUCATION_LEV.ISCED11_2,80.225607
2017,,,,CL_EDUCATION_LEV.ISCED11_2,79.020964
2018,,,,CL_EDUCATION_LEV.ISCED11_2,76.53135999999999
2016,,,,CL_EDUCATION_LEV.ISCED11_3,75.037157
2017,,,,CL_EDUCATION_LEV.ISCED11_3,78.352825
2018,,,,CL_EDUCATION_LEV.ISCED11_3,72.09416
2016,,,,CL_EDUCATION_LEV.ISCED11_4,78.366259
2017,,,,CL_EDUCATION_LEV.ISCED11_4,83.853085
2018,,,,CL_EDUCATION_LEV.ISCED11_4,80.180024
2016,,,,CL_EDUCATION_LEV.ISCED11_5,79.940306
2017,,,,CL_EDUCATION_LEV.ISCED11_5,83.947666
2018,,,,CL_EDUCATION_LEV.ISCED11_5,82.067382
