Year,concept.SEX,Value
2007,,8.2
2008,,8.2
2009,,8.4
2010,,8.6
2011,,8.5
2012,,8.4
2013,,8.3
2014,,8.0
2015,,7.6
2016,,7.2
2017,,6.9
2007,Смоделированные данные,7.6
2008,Смоделированные данные,7.3
2009,Смоделированные данные,7.4
2010,Смоделированные данные,7.7
2011,Смоделированные данные,7.6
2012,Смоделированные данные,7.7
2013,Смоделированные данные,7.4
2014,Смоделированные данные,7.0
2015,Смоделированные данные,6.5
2016,Смоделированные данные,6.2
2017,Смоделированные данные,5.6
2007,Женщины,9.0
2008,Женщины,9.4
2009,Женщины,9.8
2010,Женщины,9.9
2011,Женщины,9.9
2012,Женщины,9.5
2013,Женщины,9.7
2014,Женщины,9.5
2015,Женщины,9.0
2016,Женщины,8.7
2017,Женщины,8.9
