Year,Units,concept.COMMENT_TS,Value
2007,CL_UNIT_MEASURE.PT,PT,9.9
2008,CL_UNIT_MEASURE.PT,PT,13.2
2009,CL_UNIT_MEASURE.PT,PT,14.2
2010,CL_UNIT_MEASURE.PT,PT,16.9
2011,CL_UNIT_MEASURE.PT,PT,18.3
2012,CL_UNIT_MEASURE.PT,PT,12.1
2013,CL_UNIT_MEASURE.PT,PT,15.8
2014,CL_UNIT_MEASURE.PT,PT,13.7
2015,CL_UNIT_MEASURE.PT,PT,14.0
2016,CL_UNIT_MEASURE.PT,PT,15.4
2017,CL_UNIT_MEASURE.PT,PT,15.0
2018,CL_UNIT_MEASURE.PT,PT,14.3
2007,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,2.8
2008,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,4.9
2009,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,5.6
2010,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,7.2
2011,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,9.9
2012,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,7.0
2013,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,10.3
2014,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,9.8
2015,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,10.6
2016,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,12.6
2017,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,13.4
2018,CL_UNIT_MEASURE.CUR_LCU,CUR_LCU,13.4
