Year,Units,Value
2010,CL_UNIT_MEASURE.PER_100000_POP,13.3
2011,CL_UNIT_MEASURE.PER_100000_POP,6.3
2012,CL_UNIT_MEASURE.PER_100000_POP,5.4
2013,CL_UNIT_MEASURE.PER_100000_POP,3.7
2014,CL_UNIT_MEASURE.PER_100000_POP,3.9
2015,CL_UNIT_MEASURE.PER_100000_POP,3.5
2016,CL_UNIT_MEASURE.PER_100000_POP,2.8
2017,CL_UNIT_MEASURE.PER_100000_POP,3.0
2018,CL_UNIT_MEASURE.PER_100000_POP,2.2
2010,CL_UNIT_MEASURE.NUMBER,722.0
2011,CL_UNIT_MEASURE.NUMBER,344.0
2012,CL_UNIT_MEASURE.NUMBER,298.0
2013,CL_UNIT_MEASURE.NUMBER,212.0
2014,CL_UNIT_MEASURE.NUMBER,223.0
2015,CL_UNIT_MEASURE.NUMBER,205.0
2016,CL_UNIT_MEASURE.NUMBER,170.0
2017,CL_UNIT_MEASURE.NUMBER,185.0
2018,CL_UNIT_MEASURE.NUMBER,135.0
