Year,concept.REF_AREA,concept.SEX,Value
2007,,,35.0
2008,,,31.7
2009,,,31.7
2010,,,33.7
2011,,,36.8
2012,,,38.0
2013,,,37.0
2014,,,30.6
2015,,,32.1
2016,,,25.4
2017,,,25.6
2018,,,22.4
2007,,CL_SEX.M,34.7
2008,,CL_SEX.M,31.4
2009,,CL_SEX.M,30.7
2010,,CL_SEX.M,32.7
2011,,CL_SEX.M,36.1
2012,,CL_SEX.M,37.2
2013,,CL_SEX.M,36.5
2014,,CL_SEX.M,29.7
2015,,CL_SEX.M,31.5
2016,,CL_SEX.M,25.0
2017,,CL_SEX.M,25.0
2018,,CL_SEX.M,22.5
2007,,CL_SEX.F,35.4
2008,,CL_SEX.F,32.1
2009,,CL_SEX.F,32.9
2010,,CL_SEX.F,34.8
2011,,CL_SEX.F,37.6
2012,,CL_SEX.F,39.0
2013,,CL_SEX.F,37.5
2014,,CL_SEX.F,31.5
2015,,CL_SEX.F,32.7
2016,,CL_SEX.F,25.7
2017,,CL_SEX.F,26.3
2018,,CL_SEX.F,22.2
2007,CL_AREA.KG05,,40.40248
2008,CL_AREA.KG05,,20.74156
2009,CL_AREA.KG05,,31.472533000000002
2010,CL_AREA.KG05,,33.595652
2011,CL_AREA.KG05,,35.637925
2012,CL_AREA.KG05,,34.235279999999996
2013,CL_AREA.KG05,,53.85581
2014,CL_AREA.KG05,,40.719691999999995
2015,CL_AREA.KG05,,41.156483
2016,CL_AREA.KG05,,37.049867
2017,CL_AREA.KG05,,40.51893
2018,CL_AREA.KG05,,33.773947
2007,CL_AREA.KG05,CL_SEX.M,41.298196999999995
2008,CL_AREA.KG05,CL_SEX.M,22.400607
2009,CL_AREA.KG05,CL_SEX.M,31.273921
2010,CL_AREA.KG05,CL_SEX.M,31.928278000000002
2011,CL_AREA.KG05,CL_SEX.M,34.181401
2012,CL_AREA.KG05,CL_SEX.M,34.639723
2013,CL_AREA.KG05,CL_SEX.M,53.627067000000004
2014,CL_AREA.KG05,CL_SEX.M,39.011010999999996
2015,CL_AREA.KG05,CL_SEX.M,40.926454
2016,CL_AREA.KG05,CL_SEX.M,36.116547
2017,CL_AREA.KG05,CL_SEX.M,39.60454
2018,CL_AREA.KG05,CL_SEX.M,33.671054
2007,CL_AREA.KG05,CL_SEX.F,39.381264
2008,CL_AREA.KG05,CL_SEX.F,18.757343
2009,CL_AREA.KG05,CL_SEX.F,31.703884999999996
2010,CL_AREA.KG05,CL_SEX.F,35.557934
2011,CL_AREA.KG05,CL_SEX.F,37.347648
2012,CL_AREA.KG05,CL_SEX.F,33.764476
2013,CL_AREA.KG05,CL_SEX.F,54.087839
2014,CL_AREA.KG05,CL_SEX.F,42.448702000000004
2015,CL_AREA.KG05,CL_SEX.F,41.395882
2016,CL_AREA.KG05,CL_SEX.F,38.033369
2017,CL_AREA.KG05,CL_SEX.F,41.521176000000004
2018,CL_AREA.KG05,CL_SEX.F,33.888979
2007,CL_AREA.KG03,,53.037853000000005
2008,CL_AREA.KG03,,40.086271
2009,CL_AREA.KG03,,36.873144
2010,CL_AREA.KG03,,44.705496000000004
2011,CL_AREA.KG03,,45.290428000000006
2012,CL_AREA.KG03,,55.65783100000001
2013,CL_AREA.KG03,,46.412538
2014,CL_AREA.KG03,,46.435379
2015,CL_AREA.KG03,,45.092335
2016,CL_AREA.KG03,,32.247345
2017,CL_AREA.KG03,,32.58065
2018,CL_AREA.KG03,,32.21518
2007,CL_AREA.KG03,CL_SEX.M,51.581913
2008,CL_AREA.KG03,CL_SEX.M,37.898731
2009,CL_AREA.KG03,CL_SEX.M,33.475027000000004
2010,CL_AREA.KG03,CL_SEX.M,43.666948
2011,CL_AREA.KG03,CL_SEX.M,43.691714000000005
2012,CL_AREA.KG03,CL_SEX.M,55.271781999999995
2013,CL_AREA.KG03,CL_SEX.M,47.356836
2014,CL_AREA.KG03,CL_SEX.M,47.010505
2015,CL_AREA.KG03,CL_SEX.M,45.246248
2016,CL_AREA.KG03,CL_SEX.M,33.070935
2017,CL_AREA.KG03,CL_SEX.M,33.991288
2018,CL_AREA.KG03,CL_SEX.M,33.427506
2007,CL_AREA.KG03,CL_SEX.F,54.569086
2008,CL_AREA.KG03,CL_SEX.F,42.427935999999995
2009,CL_AREA.KG03,CL_SEX.F,40.528056
2010,CL_AREA.KG03,CL_SEX.F,45.762935999999996
2011,CL_AREA.KG03,CL_SEX.F,46.925946
2012,CL_AREA.KG03,CL_SEX.F,56.050613
2013,CL_AREA.KG03,CL_SEX.F,45.459524
2014,CL_AREA.KG03,CL_SEX.F,45.842338
2015,CL_AREA.KG03,CL_SEX.F,44.933484
2016,CL_AREA.KG03,CL_SEX.F,31.382458000000003
2017,CL_AREA.KG03,CL_SEX.F,31.110381
2018,CL_AREA.KG03,CL_SEX.F,30.924895000000003
2007,CL_AREA.KG02,,38.587156
2008,CL_AREA.KG02,,52.243736
2009,CL_AREA.KG02,,46.090374
2010,CL_AREA.KG02,,38.013539
2011,CL_AREA.KG02,,29.522755
2012,CL_AREA.KG02,,28.137634999999996
2013,CL_AREA.KG02,,39.477990000000005
2014,CL_AREA.KG02,,26.014325
2015,CL_AREA.KG02,,28.892638
2016,CL_AREA.KG02,,24.744553
2017,CL_AREA.KG02,,24.170329000000002
2018,CL_AREA.KG02,,21.529510000000002
2007,CL_AREA.KG02,CL_SEX.M,38.684594
2008,CL_AREA.KG02,CL_SEX.M,52.152947
2009,CL_AREA.KG02,CL_SEX.M,47.889059
2010,CL_AREA.KG02,CL_SEX.M,36.910699
2011,CL_AREA.KG02,CL_SEX.M,31.115103
2012,CL_AREA.KG02,CL_SEX.M,28.242618
2013,CL_AREA.KG02,CL_SEX.M,40.426190000000005
2014,CL_AREA.KG02,CL_SEX.M,26.354813
2015,CL_AREA.KG02,CL_SEX.M,29.078559999999996
2016,CL_AREA.KG02,CL_SEX.M,24.749642
2017,CL_AREA.KG02,CL_SEX.M,24.266813
2018,CL_AREA.KG02,CL_SEX.M,21.495641
2007,CL_AREA.KG02,CL_SEX.F,38.498843
2008,CL_AREA.KG02,CL_SEX.F,52.32036
2009,CL_AREA.KG02,CL_SEX.F,44.51291
2010,CL_AREA.KG02,CL_SEX.F,39.006289
2011,CL_AREA.KG02,CL_SEX.F,28.112246999999996
2012,CL_AREA.KG02,CL_SEX.F,28.021324
2013,CL_AREA.KG02,CL_SEX.F,38.474804
2014,CL_AREA.KG02,CL_SEX.F,25.663079
2015,CL_AREA.KG02,CL_SEX.F,28.701454
