Year,Series,Units,Value
2013,CL_SERIES.AG_LND_FRSTCHG,CL_UNIT_MEASURE.HA,1037.0
2014,CL_SERIES.AG_LND_FRSTCHG,CL_UNIT_MEASURE.HA,778.0
2015,CL_SERIES.AG_LND_FRSTCHG,CL_UNIT_MEASURE.HA,507.0
2016,CL_SERIES.AG_LND_FRSTCHG,CL_UNIT_MEASURE.HA,616.0
2017,CL_SERIES.AG_LND_FRSTCHG,CL_UNIT_MEASURE.HA,490.0
2018,CL_SERIES.AG_LND_FRSTCHG,CL_UNIT_MEASURE.HA,400.0
2013,CL_SERIES.AG_LND_FRSTBIOPHA,CL_UNIT_MEASURE.T_PER_HA,26.7
2013,CL_SERIES.AG_LND_FRSTPRCTN,CL_UNIT_MEASURE.PT,5.7
2014,CL_SERIES.AG_LND_FRSTPRCTN,CL_UNIT_MEASURE.PT,5.7
2015,CL_SERIES.AG_LND_FRSTPRCTN,CL_UNIT_MEASURE.PT,5.7
2016,CL_SERIES.AG_LND_FRSTPRCTN,CL_UNIT_MEASURE.PT,5.7
2017,CL_SERIES.AG_LND_FRSTPRCTN,CL_UNIT_MEASURE.PT,5.7
2018,CL_SERIES.AG_LND_FRSTPRCTN,CL_UNIT_MEASURE.PT,5.8
2013,CL_SERIES.AG_LND_FRSTMGT,CL_UNIT_MEASURE.PT,74.6
2014,CL_SERIES.AG_LND_FRSTMGT,CL_UNIT_MEASURE.PT,76.4
2015,CL_SERIES.AG_LND_FRSTMGT,CL_UNIT_MEASURE.PT,78.0
2016,CL_SERIES.AG_LND_FRSTMGT,CL_UNIT_MEASURE.PT,79.6
2017,CL_SERIES.AG_LND_FRSTMGT,CL_UNIT_MEASURE.PT,81.3
2018,CL_SERIES.AG_LND_FRSTMGT,CL_UNIT_MEASURE.PT,82.6
