Year,concept.REF_AREA,concept.AGE,Value
2014,,CL_AGE.Y1T14,57.1
2018,,CL_AGE.Y1T14,74.3
2014,CL_AREA.KG05,CL_AGE.Y1T14,49.4
2018,CL_AREA.KG05,CL_AGE.Y1T14,46.8
2014,CL_AREA.KG03,CL_AGE.Y1T14,42.9
2018,CL_AREA.KG03,CL_AGE.Y1T14,65.5
2014,CL_AREA.KG02,CL_AGE.Y1T14,48.2
2018,CL_AREA.KG02,CL_AGE.Y1T14,80.9
2014,CL_AREA.KG04,CL_AGE.Y1T14,58.0
2018,CL_AREA.KG04,CL_AGE.Y1T14,74.0
2014,CL_AREA.KG06,CL_AGE.Y1T14,57.8
2018,CL_AREA.KG06,CL_AGE.Y1T14,74.4
2014,CL_AREA.KG07,CL_AGE.Y1T14,71.1
2018,CL_AREA.KG07,CL_AGE.Y1T14,79.9
2014,CL_AREA.KG08,CL_AGE.Y1T14,66.8
2018,CL_AREA.KG08,CL_AGE.Y1T14,83.5
2014,CL_AREA.KG11,CL_AGE.Y1T14,70.3
2018,CL_AREA.KG11,CL_AGE.Y1T14,80.5
2014,CL_AREA.KG21,CL_AGE.Y1T14,71.1
2018,CL_AREA.KG21,CL_AGE.Y1T14,85.6
2014,,CL_AGE.Y1T2,45.5
2018,,CL_AGE.Y1T2,55.3
2014,,CL_AGE.Y1,39.5
2014,,CL_AGE.Y2,51.8
2014,,CL_AGE.Y3T4,67.1
2018,,CL_AGE.Y3T4,71.2
2014,,CL_AGE.Y5T6,61.9
2014,,CL_AGE.Y10T14,52.7
2018,,CL_AGE.Y10T14,78.8
