Year,Units,Series,Value
2007,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,114961
2008,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,120274
2009,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,124751
2010,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,133398
2011,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,142897
2012,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,150206
2013,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,162967
2014,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,168679
2015,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,174693
2016,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,178944
2017,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,183330
2018,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_010301_1F2,187313
2007,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,22
2008,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,23
2009,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,23
2010,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,25
2011,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,26
2012,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,27
2013,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,28
2014,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,29
2015,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,29
2016,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,29
2017,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,29
2018,CL_UNIT_MEASURE.PT,CL_SERIES._L_KG_010301_1F1,29
