Year,Units,Series,Value
2010,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,18.0
2011,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,18.0
2012,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,19.0
2013,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,19.0
2014,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,21.0
2015,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,22.0
2016,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,24.0
2017,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,23.0
2018,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A,22.0
2010,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,477.2
2011,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,292.9
2012,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,337.8
2013,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,405.4
2014,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,1003.2
2015,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,967.0
2016,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,921.3
2017,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,1004.4
2018,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B,1092.7
