Year,Series,Value
2007,CL_SERIES.SL_EMP_INJUR,27.716013
2008,CL_SERIES.SL_EMP_INJUR,32.316212
2009,CL_SERIES.SL_EMP_INJUR,24.233586
2010,CL_SERIES.SL_EMP_INJUR,90.112821
2011,CL_SERIES.SL_EMP_INJUR,27.924874
2012,CL_SERIES.SL_EMP_INJUR,27.025060999999997
2013,CL_SERIES.SL_EMP_INJUR,38.431743
2014,CL_SERIES.SL_EMP_INJUR,29.216361
2015,CL_SERIES.SL_EMP_INJUR,22.079153
2016,CL_SERIES.SL_EMP_INJUR,24.463597
2017,CL_SERIES.SL_EMP_INJUR,17.014573000000002
2018,CL_SERIES.SL_EMP_INJUR,25.028299
2007,CL_SERIES.SL_EMP_FTLINJUR,4.7929949999999995
2008,CL_SERIES.SL_EMP_FTLINJUR,4.826447
2009,CL_SERIES.SL_EMP_FTLINJUR,5.057444
2010,CL_SERIES.SL_EMP_FTLINJUR,6.148875
2011,CL_SERIES.SL_EMP_FTLINJUR,4.517258999999999
2012,CL_SERIES.SL_EMP_FTLINJUR,4.781357
2013,CL_SERIES.SL_EMP_FTLINJUR,5.835186
2014,CL_SERIES.SL_EMP_FTLINJUR,3.602017
2015,CL_SERIES.SL_EMP_FTLINJUR,4.103205
2016,CL_SERIES.SL_EMP_FTLINJUR,5.048044
2017,CL_SERIES.SL_EMP_FTLINJUR,6.691124
2018,CL_SERIES.SL_EMP_FTLINJUR,1.516867
